ScanId,AppIdentifier,ProductFeature,Scope,Right,ResourceId,RemediationCode
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|c8c467d5-83d8-4538-8c23-3b8ff7ac701d@d8623c9e-30c7-473a-83bc-d907df44a26e,Search,search,QueryAsUserIgnoreAppPrincipal,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|c8c467d5-83d8-4538-8c23-3b8ff7ac701d@d8623c9e-30c7-473a-83bc-d907df44a26e,Social,social/tenant,FullControl,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|c8c467d5-83d8-4538-8c23-3b8ff7ac701d@d8623c9e-30c7-473a-83bc-d907df44a26e,Taxonomy,taxonomy,Write,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|cf4ca5a3-8bd6-4294-8eaf-fc96f3d8aecf@d8623c9e-30c7-473a-83bc-d907df44a26e,Content,content/tenant,FullControl,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|ea5b52de-15c7-47b4-b488-94cce053ea4b@d8623c9e-30c7-473a-83bc-d907df44a26e,Content,content/tenant,Write,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|ea5b52de-15c7-47b4-b488-94cce053ea4b@d8623c9e-30c7-473a-83bc-d907df44a26e,Social,social/tenant,Read,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|eef9b4e9-b62e-4085-9564-0c3a3fc2c113@d8623c9e-30c7-473a-83bc-d907df44a26e,Content,content/tenant,FullControl,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|ef745f21-2bd9-41d9-baf7-75b70691b47a@d8623c9e-30c7-473a-83bc-d907df44a26e,Content,content/tenant,FullControl,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|ef745f21-2bd9-41d9-baf7-75b70691b47a@d8623c9e-30c7-473a-83bc-d907df44a26e,Social,social/tenant,Manage,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|effd3e6b-22bd-46a6-8d7a-8d23c93e9832@d8623c9e-30c7-473a-83bc-d907df44a26e,Content,content/tenant,FullControl,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|f0520164-a618-458e-a7b1-49a9fdbff42e@d8623c9e-30c7-473a-83bc-d907df44a26e,Social,social/tenant,FullControl,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|f5579fc7-7c22-4b48-9560-9324a7670374@d8623c9e-30c7-473a-83bc-d907df44a26e,Content,content/tenant,FullControl,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|f727176a-64c9-4697-a713-0b75343503f9@d8623c9e-30c7-473a-83bc-d907df44a26e,Content,content/tenant,FullControl,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|f825f9e2-2d4a-4ccf-b076-c73ae4888665@d8623c9e-30c7-473a-83bc-d907df44a26e,Social,social/tenant,Read,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|f825f9e2-2d4a-4ccf-b076-c73ae4888665@d8623c9e-30c7-473a-83bc-d907df44a26e,Taxonomy,taxonomy,Write,00000000-0000-0000-0000-000000000000,
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,i:0i.t|ms.sp.ext|fc5dd3e4-a080-42a7-8fbd-153245a95ae3@d8623c9e-30c7-473a-83bc-d907df44a26e,Social,social/tenant,Manage,00000000-0000-0000-0000-000000000000,
