ScanId,SiteUrl,StartDate,EndDate,ScanDuration,Status
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130072,09/08/2023 12:59:21,09/08/2023 12:59:23,2,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130073,09/08/2023 13:01:37,09/08/2023 13:01:39,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/130074,09/08/2023 12:55:25,09/08/2023 12:55:27,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/20140008,09/08/2023 12:57:24,09/08/2023 12:57:26,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/20140009,09/08/2023 12:59:37,09/08/2023 12:59:38,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/20140010,09/08/2023 13:03:40,09/08/2023 13:03:42,2,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/20140011,09/08/2023 13:01:10,09/08/2023 13:01:12,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/20140012,09/08/2023 13:01:10,09/08/2023 13:01:11,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/20140013,09/08/2023 13:03:27,09/08/2023 13:03:29,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/20140014,09/08/2023 13:01:27,09/08/2023 13:01:28,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/20140015,09/08/2023 13:03:34,09/08/2023 13:03:38,4,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/20140016,09/08/2023 12:55:26,09/08/2023 12:55:28,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/20140017,09/08/2023 13:03:29,09/08/2023 13:03:38,8,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/20140018,09/08/2023 12:59:29,09/08/2023 12:59:31,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/20140019,09/08/2023 12:58:22,09/08/2023 12:58:47,24,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/20140020,09/08/2023 13:01:27,09/08/2023 13:01:29,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/20140021,09/08/2023 13:01:08,09/08/2023 13:01:10,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/20140026,09/08/2023 13:01:34,09/08/2023 13:01:35,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/20140027,09/08/2023 12:58:44,09/08/2023 12:59:08,24,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/20140028,09/08/2023 13:01:01,09/08/2023 13:01:03,1,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/20140029,09/08/2023 13:01:22,09/08/2023 13:01:24,2,Finished
65c3543c-127b-496e-b2bc-b2ccb5c59e2a,https://bertonline.sharepoint.com/sites/20140031,09/08/2023 12:59:30,09/08/2023 12:59:32,1,Finished
