ScanId,SiteUrl,LastItemUserModifiedDate,RootWebTemplate,SubWebTemplates,SubWebCount,SubWebDepth,ClassicLists,ModernLists,ClassicPages,ClassicWikiPages,ClassicASPXPages,ClassicBlogPages,ClassicWebPartPages,ClassicPublishingPages,ModernPages,ClassicWorkflows,ClassicInfoPathForms,ClassicExtensibilities,SharePointAddIns,AzureACSPrincipals,AggregatedRemediationCodes
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/templatePROJECTSITE0,01/10/2020 08:56:03,PROJECTSITE#0,,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,CL4
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/templateSITEPAGEPUBLISHING0,09/20/2021 08:25:31,SITEPAGEPUBLISHING#0,,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,CL4
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/templateSRCHCEN0,11/29/2019 08:26:04,SRCHCEN#0,,0,0,7,5,8,0,0,0,0,8,0,0,0,0,0,0,"CL3,CL5,CL4,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/templateSRCHCENTERLITE0,01/10/2020 09:04:06,SRCHCENTERLITE#0,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,CL4
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/templateSTS0,09/20/2021 08:31:17,STS#0,,0,0,0,5,2,2,0,0,0,0,0,0,0,0,0,0,CP2
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/templateSTS3,09/20/2021 08:31:59,STS#3,,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/templateVISPRUS0,01/10/2020 09:06:55,VISPRUS#0,,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,CL4
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/test,12/13/2018 07:34:36,STS#0,ACCSRV#0,1,1,2,8,2,2,0,0,0,0,2,0,0,0,0,0,"CP2,CL4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/testdoccenter,12/03/2017 14:24:47,BDR#0,,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,"CL5,CL3,CL4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/testprojectsite,09/28/2017 18:29:48,PROJECTSITE#0,,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,CL4
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/testpubportal,06/18/2018 15:54:15,BLANKINTERNET#0,,0,0,5,6,5,0,0,0,0,5,0,0,0,0,0,0,"CS2,CL3,CL5,CL4,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/todelete1,10/24/2022 09:14:52,SITEPAGEPUBLISHING#0,,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,CL4
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/todeletedemo,12/20/2018 07:18:13,SITEPAGEPUBLISHING#0,,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,CL4
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/uiscannermodernteam,07/11/2017 11:03:51,GROUP#0,,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/uiscannerportal,03/15/2017 14:43:38,BLANKINTERNET#0,,0,0,5,5,2,0,0,0,0,2,0,0,0,0,0,0,"CS2,CL3,CL5,CL4,CP4"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/uiscannerteam,03/15/2017 14:46:43,STS#0,,0,0,0,5,2,2,0,0,0,0,0,0,0,0,0,0,CP2
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/uiscannerteamwithpublishing,03/15/2017 15:35:43,STS#0,,0,0,5,7,3,2,0,0,0,1,0,0,0,0,0,0,"CL3,CL5,CL4,CP4,CP2"
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/unallowedaakkoset333,03/28/2022 18:39:47,GROUP#0,,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/unallowedaakkoset761,12/23/2022 10:21:58,GROUP#0,,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,
f403c19c-0541-4b70-863d-f2a169b62980,https://bertonline.sharepoint.com/sites/webhookdemo,05/09/2017 08:02:40,STS#0,,0,0,0,6,2,2,0,0,0,0,1,0,0,0,0,0,CP2
